fichier,octets,lignes,derniere_modif
Applications/NKCode/RELEASE_NOTES_beta2.md,6621,79,2026-07-30
Applications/NKCode/ROADMAP.md,46367,678,2026-08-15
Applications/NKCode/docs/ZIG-APPLE-TOOLCHAIN.md,8779,188,2026-07-04
Applications/NKCode/important/i1.md,84000,1520,2026-08-09
Applications/NKCode/important/interface.md,90210,3841,2026-06-28
Applications/NKCode/src/NKCode/Agents/README.md,2710,43,2026-06-22
Applications/NKCode/src/NKCode/Blocks/README.md,1588,29,2026-06-22
Applications/NKCode/src/NKCode/Blueprint/README.md,1603,30,2026-06-22
Applications/NKCode/src/NKCode/Codegen/README.md,1620,30,2026-06-22
Applications/NKCode/src/NKCode/Editor/README.md,1408,28,2026-06-22
Applications/NKCode/src/NKCode/Extensions/README.md,2261,37,2026-06-22
Applications/NKCode/src/NKCode/Graph/README.md,1485,29,2026-06-22
Applications/NKCode/src/NKCode/Project/README.md,1402,27,2026-06-22
Applications/NKCode/src/NKCode/Shell/README.md,1275,27,2026-06-22
Applications/NKCode/src/NKCode/UIBuilder/README.md,2679,43,2026-06-22
Applications/NKGptTrain/GUIDE_LLM_AUTONOME.md,10486,238,2026-07-07
Applications/NKGptTrain/README.md,7269,172,2026-07-07
Applications/NKIlyana/LA_BIBLIOTHEQUE.md,15693,357,2026-08-10
Applications/NKIlyana/OUTILS_ET_TESTS.md,12980,286,2026-08-10
Applications/NKIlyana/ROADMAP.md,125691,2277,2026-08-21
Applications/NKUIDesign/1_NkUIDesign_Specification_Application.md,9490,207,2026-07-17
Applications/NKUIDesign/2_NkUIDesign_Langage_Description_NodeBlueprint.md,13404,343,2026-07-17
Applications/NKUIDesign/design/3_NkUIDesign_Interface_Humaine.md,167701,3473,2026-08-21
Applications/NKUIDesign/design/4_NkUIDesign_Brief_Banani.md,83280,1579,2026-08-21
Applications/NKUIDesign/design/5_NkUIDesign_Specification_Claude.md,62366,1475,2026-08-21
Applications/NKUIDesign/design/6_IA_de_design_cadrage.md,31709,676,2026-08-21
Applications/NKUIDesign/design/7_Vocabulaire_NkUI.md,9751,220,2026-08-21
Applications/NKUIDesign/design/8_Inventaire_de_l_existant.md,7616,162,2026-08-21
Applications/NKUIDesign/design/9_Grammaire_complete.md,23589,594,2026-08-21
Applications/NkAnima/ROADMAP.md,43417,599,2026-08-21
Applications/NkAnimaEditor/design/04-specification-humaine-animation-vfx.md,21335,310,2026-08-21
Applications/NkAnimaEditor/design/05-specification-claude-animation-vfx.md,14615,393,2026-08-21
Applications/NkAnimaEditor/design/06-specification-banani-animation-vfx.md,16745,275,2026-08-21
Applications/NkAnimaEditor/important/f1.md,80455,1499,2026-06-29
Applications/NkAnimaEditor/important/interface.md,67469,2066,2026-06-29
Applications/NkAnimaEditor/important/roadmap.md,0,0,2026-06-29
Applications/NkRef/LISEZMOI-TESTEURS.md,2579,50,2026-08-21
Applications/NkVideoPlayer/01-roadmap-complete.md,9509,239,2026-07-30
Applications/NkVideoPlayer/02-cahier-des-charges.md,11842,202,2026-07-30
Applications/NkVideoPlayer/03a-specification-interfaces-humain.md,13942,352,2026-07-30
Applications/NkVideoPlayer/03b-specification-interfaces-banani.md,13887,287,2026-07-30
Applications/NkVideoPlayer/ROADMAP.md,6225,85,2026-07-30
Applications/NkVideoPlayer/specification-produit-lecteur-av.md,16581,258,2026-07-30
Applications/Nkoung/ARCHITECTURE.md,12016,382,2026-06-14
Applications/Nkoung/ARCHITECTURE_NKOUNG.md,9124,371,2026-06-14
Applications/Nkoung/BUILD_CHECKLIST.md,7551,307,2026-06-14
Applications/Nkoung/COMPLETION_SUMMARY.md,10459,384,2026-06-14
Applications/Nkoung/FILES_DELIVERED.md,8892,281,2026-06-14
Applications/Nkoung/INDEX.md,7369,258,2026-06-14
Applications/Nkoung/QUICK_START.md,5603,219,2026-06-14
Applications/Nkoung/README.md,6303,245,2026-06-14
Applications/Nkoung/ROADMAP.md,8565,310,2026-06-14
Applications/Nkoung/UI_DESIGN_SPEC.md,6382,231,2026-06-14
Applications/Nkoung/WELCOME.md,7614,276,2026-06-14
Applications/Nkoung/docs/02-laser-puzzle-gdd.md,5037,182,2026-06-14
Applications/Nkoung/docs/03-territoires-gdd.md,5023,213,2026-06-14
Applications/Nkoung/docs/04-ponts-et-chemins-gdd.md,4200,181,2026-06-14
Applications/Nkoung/docs/05-gardien-du-labyrinthe-gdd.md,4147,167,2026-06-14
Applications/Nkoung/docs/06-tactique-minimaliste-gdd.md,4000,183,2026-06-14
Applications/Nkoung/docs/07-jeu-de-flux-gdd.md,4223,182,2026-06-14
Applications/Nogee/ARCHITECTURE (2).md,19121,541,2026-06-14
Applications/Nogee/ARCHITECTURE.md,19121,541,2026-06-14
Applications/Nogee/design/01-specification-humaine.md,26743,458,2026-08-21
Applications/Nogee/design/02-specification-claude.md,17699,414,2026-08-21
Applications/Nogee/design/03-specification-banani.md,22250,339,2026-08-21
Applications/PV3DE/ARCHITECTURE (2).md,19121,541,2026-06-14
Applications/PV3DE/ARCHITECTURE.md,19121,541,2026-06-14
Applications/PV3DE/ROADMAP.md,40643,476,2026-08-21
Applications/PV3DE/file.md,0,0,2026-04-19
Applications/Pong/README.md,4566,126,2026-06-14
Applications/Pong/ROADMAP.md,10349,195,2026-06-14
Applications/Sandbox/src/DemoNkentseu/Base04/tmp/imgui_approche.md,5972,186,2026-04-10
Applications/Songoo/README_INTEGRATION.md,5646,165,2026-06-22
Applications/Songoo/REFACTOR_NOTES.md,6242,142,2026-07-30
BugReports/Backends-Rendu/dx11-freeze-maximize-resizebuffers.md,3840,66,2026-07-04
BugReports/Backends-Rendu/opengl-ombres-manquantes-glclipcontrol-clipz01.md,3556,75,2026-07-04
BugReports/Backends-Rendu/opengl-vulkan-rendu.md,2469,49,2026-06-14
BugReports/Backends-Rendu/software-couleur-sommet-packee-uint-nan.md,3109,52,2026-07-06
BugReports/Backends-Rendu/software-grille-inversee-y-ndc-convention.md,4044,52,2026-07-06
BugReports/Backends-Rendu/software-multithread-plus-lent-tuilage-scissor.md,2943,50,2026-07-06
BugReports/Backends-Rendu/software-nksl-ecran-noir-lambdas-stub.md,2777,60,2026-06-14
BugReports/Backends-Rendu/software-ombres-vsm-viewport.md,8665,90,2026-07-06
BugReports/Backends-Rendu/software-shadow-atlas-gaspille-perf.md,2852,47,2026-07-06
BugReports/DirectX11/input-layout-format-enum-index.md,4678,88,2026-06-14
BugReports/DirectX12/debug-layer-graphics-tools.md,4437,107,2026-06-14
BugReports/DirectX12/depth-state-tracking-clear-barrier.md,3517,72,2026-06-14
BugReports/DirectX12/dxc-entry-point-hardcode-main.md,2161,58,2026-06-14
BugReports/DirectX12/dxc-integration-clang-mingw.md,3048,76,2026-06-14
BugReports/DirectX12/pso-signature-linkage-E_INVALIDARG.md,3038,74,2026-06-14
BugReports/DirectX12/root-signature-register-base.md,1531,45,2026-06-14
BugReports/DirectX12/root-signature-table-par-registre.md,2968,66,2026-06-14
BugReports/Environnement-Windows/runtime-vc-dxcompiler-graphics-tools.md,2370,51,2026-06-14
BugReports/GitHub/claude-contributeur-cache-github.md,5128,80,2026-07-11
BugReports/Memoire-Heap/nkunorderedmap-define-find-rehash.md,3000,75,2026-06-14
BugReports/NKCanvas/dx12-createwhitetexture-cmdlist-rowpitch.md,3147,68,2026-06-14
BugReports/NKCanvas/heap-c0000374-renderer-alloc-mismatch.md,5871,132,2026-06-14
BugReports/NKCanvas/nktexture-move-mcpupixels.md,1760,49,2026-06-14
BugReports/NKCanvas/software-blackscreen-textures.md,5457,103,2026-06-14
BugReports/NKCanvas/vulkan-rendering-white-yflip-srgb.md,6207,139,2026-06-14
BugReports/NKCanvas/vulkan-spirv-2d-invalide.md,4277,99,2026-06-14
BugReports/NkSL-Generateurs/glsl-locations-bindings.md,2098,51,2026-06-14
BugReports/NkSL-Generateurs/hlsl-dx-binding-shared-counter.md,3234,69,2026-06-14
BugReports/NkSL-Generateurs/hlsl-dx12-bugs-generateur.md,3344,57,2026-06-14
BugReports/NkSL-VM/vm-software-etat-pause.md,3468,61,2026-06-14
BugReports/PROMPT_WIKI.md,6062,91,2026-06-14
BugReports/Pong/rihenintro-fond-blanc-regression-migration.md,1711,40,2026-06-14
BugReports/README.md,5128,97,2026-07-11
BugReports/SESSION_AUTONOME_2026-06-11.md,7958,136,2026-06-14
CONSOLIDATION_TODO.md,2665,48,2026-06-29
CONVENTIONS_CODE.md,8899,263,2026-08-21
CONVENTIONS_FICHIERS.md,8991,181,2026-08-08
DETTE_LISIBILITE.md,52358,946,2026-08-21
Documentation/cours-conqueror/LIVRAISON.md,6842,188,2026-08-17
Documentation/cours-conqueror/README.md,7116,142,2026-08-17
Documentation/cours-conqueror/SUJETS.md,20123,447,2026-08-17
Documentation/cours-conqueror/md/00-avant-propos.md,8857,200,2026-08-23
Documentation/cours-conqueror/md/01-le-principe.md,17622,415,2026-08-23
Documentation/cours-conqueror/md/02-ecrire-des-regles.md,18586,493,2026-08-23
Documentation/cours-conqueror/md/02b-regles-en-trois-fonctions.md,12503,276,2026-08-23
Documentation/cours-conqueror/md/03-ecrire-une-ia.md,13696,371,2026-08-23
Documentation/cours-conqueror/md/04-les-grilles.md,9820,259,2026-08-23
Documentation/cours-conqueror/md/05-grille-en-cpp.md,13818,350,2026-08-17
Documentation/cours-conqueror/md/06-se-servir-de-l-atelier.md,17549,402,2026-08-23
Documentation/cours-conqueror/md/06b-jouer-un-coup.md,9966,195,2026-08-23
Documentation/cours-conqueror/md/07-regarder-et-habiller.md,9153,222,2026-08-17
Documentation/cours-conqueror/md/08-exemples-complets.md,20301,557,2026-08-17
Documentation/cours-conqueror/stagiaires/A1_moteur_de_regles.md,11507,285,2026-08-17
Documentation/cours-conqueror/stagiaires/A2_intelligence_artificielle.md,11437,284,2026-08-17
Documentation/cours-montecarlo/README.md,2552,61,2026-08-12
Documentation/cours/README.md,2220,52,2026-08-08
Documentation/cours/md/00-avant-propos.md,20981,517,2026-08-08
Documentation/cours/md/01-le-decor.md,24227,610,2026-08-08
Documentation/cours/md/02-nkcanvas.md,43102,1064,2026-08-08
Documentation/cours/md/03-nkgui.md,75477,1775,2026-08-08
Documentation/cours/md/04-application.md,46685,1182,2026-08-08
Documentation/cours/md/05-nkimage.md,40696,1076,2026-08-08
Documentation/cours/md/06-nkfont.md,38175,964,2026-08-08
Documentation/cours/md/07-nkaudio.md,35383,926,2026-08-08
Documentation/cours/md/08-nkmedia.md,35948,898,2026-08-08
Documentation/cours/md/09-nknetwork.md,37989,967,2026-08-08
Documentation/cours/md/10-projet-final.md,43758,1121,2026-08-08
Documentation/cours/md/README.md,959,19,2026-08-08
Documentation/notes_etape4_qlora.md,27535,456,2026-08-08
Documentation/notes_modules_integration.md,172835,4147,2026-08-08
Documentation/notes_nkcanvas_nkgui.md,123092,2538,2026-08-08
Documentation/notes_nkcode_nkcanvas.md,137771,3093,2026-08-08
ECOSYSTEM.md,7449,124,2026-06-22
ECOSYSTEM_OVERVIEW.md,5702,109,2026-06-29
EXPLICATION_SIMPLE.md,4820,93,2026-06-14
Engine/NKEditorKit/ARCHITECTURE.md,5466,107,2026-06-26
Engine/NKEditorKit/README.md,3815,92,2026-06-26
Engine/NKEditorKit/ROADMAP.md,71819,1166,2026-08-21
Engine/Noge/ARCHITECTURE (2).md,19121,541,2026-06-14
Engine/Noge/ARCHITECTURE.md,19121,541,2026-06-14
Engine/Noge/HANDOFF.md,20469,148,2026-07-30
Engine/Noge/ROADMAP.md,220706,3343,2026-08-21
Externals/Libs/NKMbedTLS/README.md,21779,337,2026-07-04
Externals/Libs/PythonEmbed/NOTICE_NKENTSEU.md,1074,20,2026-07-30
Externals/Libs/pybind11/.github/CONTRIBUTING.md,15285,389,2026-07-30
Externals/Libs/pybind11/.github/pull_request_template.md,645,20,2026-07-30
Externals/Libs/pybind11/NOTICE_NKENTSEU.md,473,11,2026-07-30
Externals/Libs/pybind11/SECURITY.md,688,14,2026-07-30
Externals/Temp/STB/README.md,9331,185,2026-06-14
Externals/Temp/STB/SECURITY.md,269,3,2026-06-14
Guides/01-NKMemory.md,21381,600,2026-06-22
Guides/02-NKWindow.md,22226,617,2026-06-22
Guides/03-NKEvent.md,22776,565,2026-06-22
Guides/04-NKImage.md,21555,530,2026-08-21
Guides/05-NKCanvas.md,32245,880,2026-06-22
Guides/06-NKAudio.md,20524,579,2026-06-22
Guides/07-NKUI.md,26684,658,2026-06-22
Guides/08-NKNetwork.md,22684,567,2026-06-22
Guides/09-Projet-2D-complet.md,14186,424,2026-06-22
Guides/README.md,5243,141,2026-06-22
IMPORT_EXPORT_VISION.md,4851,104,2026-08-08
Kernel/AI/ARCHITECTURE.md,9912,175,2026-06-14
Kernel/AI/NKAgent/README.md,3439,53,2026-07-30
Kernel/AI/NKAgent/ROADMAP.md,17344,214,2026-07-30
Kernel/AI/NKAutograd/README.md,1530,32,2026-06-14
Kernel/AI/NKAutograd/ROADMAP.md,4338,64,2026-07-30
Kernel/AI/NKCivilization/README.md,2727,43,2026-07-30
Kernel/AI/NKCivilization/ROADMAP.md,24644,328,2026-07-30
Kernel/AI/NKData/README.md,1533,32,2026-06-14
Kernel/AI/NKData/ROADMAP.md,4060,62,2026-07-30
Kernel/AI/NKEmbodied/README.md,2293,40,2026-07-30
Kernel/AI/NKEmbodied/ROADMAP.md,9934,124,2026-07-30
Kernel/AI/NKEvolve/README.md,3123,54,2026-07-30
Kernel/AI/NKEvolve/ROADMAP.md,7646,103,2026-07-30
Kernel/AI/NKGen/README.md,2196,38,2026-07-13
Kernel/AI/NKGen/ROADMAP.md,15415,199,2026-08-08
Kernel/AI/NKInfer/README.md,1607,33,2026-06-14
Kernel/AI/NKInfer/ROADMAP.md,15067,198,2026-07-30
Kernel/AI/NKNN/README.md,1636,32,2026-06-14
Kernel/AI/NKNN/ROADMAP.md,7913,105,2026-07-30
Kernel/AI/NKOptim/README.md,1511,33,2026-06-14
Kernel/AI/NKOptim/ROADMAP.md,4946,76,2026-07-30
Kernel/AI/NKRL/README.md,1973,34,2026-07-30
Kernel/AI/NKRL/ROADMAP.md,11044,148,2026-07-30
Kernel/AI/NKSpeech/README.md,6718,91,2026-07-30
Kernel/AI/NKTensor/README.md,1905,35,2026-07-04
Kernel/AI/NKTensor/ROADMAP.md,10836,150,2026-07-30
Kernel/AI/NKTrain/README.md,1610,33,2026-06-14
Kernel/AI/NKTrain/ROADMAP.md,3919,63,2026-07-30
Kernel/AI/README.md,3674,69,2026-06-14
Kernel/AI/ROADMAP.md,134606,1672,2026-08-12
Kernel/Bare/ARCHITECTURE.md,8429,151,2026-06-14
Kernel/Bare/NKArch/README.md,1718,34,2026-06-14
Kernel/Bare/NKArch/ROADMAP.md,1218,32,2026-06-14
Kernel/Bare/NKAudioHW/README.md,1531,32,2026-06-14
Kernel/Bare/NKAudioHW/ROADMAP.md,815,25,2026-06-14
Kernel/Bare/NKBoot/README.md,1541,32,2026-06-14
Kernel/Bare/NKBoot/ROADMAP.md,1052,27,2026-06-14
Kernel/Bare/NKConsoleRT/README.md,1648,33,2026-06-14
Kernel/Bare/NKConsoleRT/ROADMAP.md,1317,34,2026-06-14
Kernel/Bare/NKDisplay/README.md,1567,32,2026-06-14
Kernel/Bare/NKDisplay/ROADMAP.md,1106,28,2026-06-14
Kernel/Bare/NKDriver/README.md,1701,34,2026-06-14
Kernel/Bare/NKDriver/ROADMAP.md,934,27,2026-06-14
Kernel/Bare/NKFSBare/README.md,1403,32,2026-06-14
Kernel/Bare/NKFSBare/ROADMAP.md,816,25,2026-06-14
Kernel/Bare/NKInput/README.md,1365,31,2026-06-14
Kernel/Bare/NKInput/ROADMAP.md,921,26,2026-06-14
Kernel/Bare/NKInterrupt/README.md,1758,35,2026-06-14
Kernel/Bare/NKInterrupt/ROADMAP.md,1062,27,2026-06-14
Kernel/Bare/NKPMM/README.md,1735,34,2026-06-14
Kernel/Bare/NKPMM/ROADMAP.md,1172,31,2026-06-14
Kernel/Bare/NKScheduler/README.md,1636,34,2026-06-14
Kernel/Bare/NKScheduler/ROADMAP.md,943,27,2026-06-14
Kernel/Bare/NKSerial/README.md,1505,34,2026-06-14
Kernel/Bare/NKSerial/ROADMAP.md,925,26,2026-06-14
Kernel/Bare/NKStorage/README.md,1324,31,2026-06-14
Kernel/Bare/NKStorage/ROADMAP.md,748,25,2026-06-14
Kernel/Bare/NKTimerHW/README.md,1476,32,2026-06-14
Kernel/Bare/NKTimerHW/ROADMAP.md,901,25,2026-06-14
Kernel/Bare/README.md,2949,50,2026-06-14
Kernel/Bare/ROADMAP.md,3221,70,2026-06-14
Kernel/Foundation/NKContainers/ROADMAP.md,39983,782,2026-08-21
Kernel/Foundation/NKContainers/Readme.md,9093,243,2026-05-05
Kernel/Foundation/NKCore/ROADMAP.md,9387,197,2026-06-14
Kernel/Foundation/NKCore/Readme.md,0,0,2026-05-05
Kernel/Foundation/NKMath/ROADMAP.md,9224,210,2026-06-14
Kernel/Foundation/NKMath/Readme.md,45220,1332,2026-06-14
Kernel/Foundation/NKMemory/ROADMAP.md,11247,235,2026-06-14
Kernel/Foundation/NKMemory/Readme.md,100377,2919,2026-08-08
Kernel/Foundation/NKPlatform/ROADMAP.md,16440,337,2026-08-17
Kernel/Foundation/NKPlatform/Readme.md,38829,1163,2026-08-08
Kernel/Runtime/NKAnimation/ROADMAP.md,17648,335,2026-08-21
Kernel/Runtime/NKAudio/ROADMAP.md,19782,297,2026-07-30
Kernel/Runtime/NKCamera/ROADMAP.md,28995,497,2026-08-17
Kernel/Runtime/NKCanvas/ROADMAP.md,38888,731,2026-07-04
Kernel/Runtime/NKCanvas/USAGE.md,17195,535,2026-06-14
Kernel/Runtime/NKCanvas/src/NKCanvas/Backend/Software/ROADMAP.md,9381,158,2026-07-06
Kernel/Runtime/NKCollision/ROADMAP.md,20109,283,2026-06-29
Kernel/Runtime/NKECS/ROADMAP.md,15930,183,2026-06-26
Kernel/Runtime/NKECS/src/NKECS/readme.md,16439,434,2026-05-05
Kernel/Runtime/NKEvent/ROADMAP.md,16087,343,2026-06-14
Kernel/Runtime/NKFont/ROADMAP.md,6762,165,2026-07-30
Kernel/Runtime/NKFont/src/INTEGRATION.md,1729,55,2026-05-05
Kernel/Runtime/NKFont/use.md,16559,408,2026-05-05
Kernel/Runtime/NKGraph/CATALOGUE_NOEUDS.md,20051,429,2026-08-22
Kernel/Runtime/NKGraph/DESIGN_EDITEUR_NODAL.md,11079,229,2026-08-22
Kernel/Runtime/NKGraph/ELEMENTS_A_DESSINER.md,33502,568,2026-08-22
Kernel/Runtime/NKGraph/ROADMAP.md,12809,156,2026-08-08
Kernel/Runtime/NKGui/ARCHITECTURE.md,9228,206,2026-06-26
Kernel/Runtime/NKGui/README.md,3745,71,2026-08-21
Kernel/Runtime/NKGui/ROADMAP.md,31185,585,2026-08-21
Kernel/Runtime/NKImage/ROADMAP.md,19807,288,2026-08-21
Kernel/Runtime/NKMedia/ROADMAP.md,148893,1623,2026-08-15
Kernel/Runtime/NKPhysics/README.md,2740,68,2026-06-29
Kernel/Runtime/NKPhysics/ROADMAP.md,24100,408,2026-08-15
Kernel/Runtime/NKRHI/ROADMAP.md,25102,462,2026-08-21
Kernel/Runtime/NKRHI/src/NKRHI/Software/ROADMAP.md,32266,448,2026-07-11
Kernel/Runtime/NKRHI/src/NKRHI/Software/ROADMAP_NkSLVM.md,10998,162,2026-07-06
Kernel/Runtime/NKRenderer/FINISH_PLAN.md,13434,186,2026-07-06
Kernel/Runtime/NKRenderer/README_Materials.md,11202,364,2026-06-14
Kernel/Runtime/NKRenderer/ROADMAP.md,126953,1998,2026-08-23
Kernel/Runtime/NKRenderer/src/NKRenderer/Tools/PixolSculpt/DESIGN.md,6782,148,2026-06-14
Kernel/Runtime/NKRenderer/src/USAGE.md,20711,664,2026-05-05
Kernel/Runtime/NKSL/src/NKSL/README.md,10880,312,2026-07-30
Kernel/Runtime/NKSL/src/NKSL/README_SUBMODULES.md,4183,151,2026-06-14
Kernel/Runtime/NKSimulation/README.md,3363,71,2026-07-30
Kernel/Runtime/NKSimulation/docs/ROADMAP.md,13687,275,2026-07-30
Kernel/Runtime/NKUI/NKUI_ANALYSIS.md,7201,189,2026-05-05
Kernel/Runtime/NKUI/README.md,6800,210,2026-05-05
Kernel/Runtime/NKUI/ROADMAP.md,15223,205,2026-08-21
Kernel/Runtime/NKWindow/ROADMAP.md,26198,463,2026-08-21
Kernel/Runtime/NKWindow/docs.md,22155,514,2026-05-05
Kernel/Runtime/NKXR/ROADMAP.md,75154,1336,2026-08-21
Kernel/Runtime/NKXR/USAGE.md,17787,379,2026-08-17
Kernel/System/NKFileSystem/ROADMAP.md,7435,168,2026-06-14
Kernel/System/NKFileSystem/Readme.md,51524,1601,2026-05-05
Kernel/System/NKLogger/ROADMAP.md,21559,424,2026-08-21
Kernel/System/NKLogger/Readme.md,35440,1117,2026-08-08
Kernel/System/NKNetwork/ROADMAP.md,11824,230,2026-07-12
Kernel/System/NKReflection/ROADMAP.md,8502,152,2026-07-20
Kernel/System/NKReflection/Readme.md,42694,1228,2026-07-09
Kernel/System/NKSerialization/README.md,9879,341,2026-05-05
Kernel/System/NKSerialization/ROADMAP.md,12926,271,2026-06-14
Kernel/System/NKStream/ROADMAP.md,6669,144,2026-06-14
Kernel/System/NKThreading/ROADMAP.md,7702,179,2026-06-14
Kernel/System/NKThreading/Readme.md,41870,1333,2026-07-09
Kernel/System/NKTime/ROADMAP.md,14764,312,2026-08-17
Kernel/System/NKTime/Readme.md,19818,631,2026-05-05
LUMIERE_OMBRE_MISSION_IA.md,17915,239,2026-08-10
NKREF_MISSION_IA.md,7508,138,2026-08-10
PRESENTATION_TECHNIQUE.md,5456,131,2026-06-14
README.md,9396,209,2026-08-12
Resources/NKRenderer/README.md,4252,98,2026-06-14
Spark/ARCHITECTURE.md,4576,105,2026-06-22
Spark/NkSparkCLI/README.md,847,23,2026-06-22
Spark/NkSparkCLI/ROADMAP.md,810,33,2026-06-22
Spark/NkSparkCore/README.md,1006,25,2026-06-22
Spark/NkSparkCore/ROADMAP.md,858,33,2026-06-22
Spark/NkSparkGen/README.md,841,25,2026-06-22
Spark/NkSparkGen/ROADMAP.md,841,33,2026-06-22
Spark/NkSparkHAL/README.md,875,23,2026-06-22
Spark/NkSparkHAL/ROADMAP.md,738,31,2026-06-22
Spark/NkSparkIR/README.md,768,22,2026-06-22
Spark/NkSparkIR/ROADMAP.md,685,30,2026-06-22
Spark/NkSparkLex/README.md,750,22,2026-06-22
Spark/NkSparkLex/ROADMAP.md,763,31,2026-06-22
Spark/NkSparkLink/README.md,1011,26,2026-06-22
Spark/NkSparkLink/ROADMAP.md,805,33,2026-06-22
Spark/NkSparkParse/README.md,937,24,2026-06-22
Spark/NkSparkParse/ROADMAP.md,818,33,2026-06-22
Spark/NkSparkRT/README.md,892,23,2026-06-22
Spark/NkSparkRT/ROADMAP.md,705,30,2026-06-22
Spark/NkSparkSema/README.md,759,24,2026-06-22
Spark/NkSparkSema/ROADMAP.md,751,32,2026-06-22
Spark/README.md,3438,72,2026-06-22
Spark/ROADMAP.md,1856,55,2026-06-22
THIRD_PARTY_LICENSES.md,7635,138,2026-08-11
Tutoriels3D/01-Fenetre/README.md,6414,189,2026-07-30
Tutoriels3D/02-Renderer/README.md,8055,196,2026-07-30
Tutoriels3D/03-Scene/README.md,7544,197,2026-07-30
Tutoriels3D/04-Camera/README.md,8879,220,2026-07-30
Tutoriels3D/05-Meshes/README.md,10799,246,2026-07-30
Tutoriels3D/README.md,3269,58,2026-07-30
XR_MISSION_IA.md,7746,144,2026-08-10
docs/ARCHITECTURE.md,21152,504,2026-03-26
docs/Audit-Portabilite-Apple.md,9998,151,2026-07-04
docs/COMPLETION_STATUS.md,12574,382,2026-03-10
docs/FINAL_INTEGRATION_REPORT_2026.md,8247,277,2026-03-10
docs/IDEES_ARCHITECTURE.md,5457,101,2026-08-12
docs/LANGUES_LOCALES_CAMEROUN.md,8416,148,2026-07-31
docs/NKCore/markdown/api.md,319,16,2026-03-05
docs/NKCore/markdown/files/NkAssert.h.md,800,45,2026-03-05
docs/NKCore/markdown/files/NkAssertHandler.h.md,2705,152,2026-03-05
docs/NKCore/markdown/files/NkAssertion.h.md,773,46,2026-03-05
docs/NKCore/markdown/files/NkAtomic.h.md,1460,82,2026-03-05
docs/NKCore/markdown/files/NkBits.h.md,11363,618,2026-03-10
docs/NKCore/markdown/files/NkBuiltin.h.md,5612,308,2026-03-05
docs/NKCore/markdown/files/NkCGXDetect.h.md,5274,257,2026-03-05
docs/NKCore/markdown/files/NkConfig.h.md,4206,224,2026-03-05
docs/NKCore/markdown/files/NkCoreExport.h.md,5087,266,2026-03-05
docs/NKCore/markdown/files/NkExport.h.md,7418,395,2026-03-05
docs/NKCore/markdown/files/NkGraphicsExport.h.md,2330,121,2026-03-05
docs/NKCore/markdown/files/NkInline.h.md,2794,171,2026-03-05
docs/NKCore/markdown/files/NkLimits.h.md,749,46,2026-03-05
docs/NKCore/markdown/files/NkMacros.h.md,13510,760,2026-03-05
docs/NKCore/markdown/files/NkPlatform.h.md,33751,1325,2026-03-10
docs/NKCore/markdown/files/NkTypeUtils.h.md,7150,406,2026-03-10
docs/NKCore/markdown/files/NkTypes.h.md,10172,616,2026-03-05
docs/NKCore/markdown/files/NkVersion.h.md,4627,228,2026-03-05
docs/NKCore/markdown/files/index.md,1021,27,2026-03-05
docs/NKCore/markdown/index.md,1108,39,2026-03-05
docs/NKCore/markdown/namespaces/__global__.md,22403,231,2026-03-05
docs/NKCore/markdown/namespaces/index.md,500,15,2026-03-05
