fichier,action,cible_de_fusion,qui_le_lit,ce_qu_il_contient_d_irremplacable,derniere_modif,lignes,motif
Applications/NKCode/important/i1.md,fusionner,Applications/NKCode/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-09,1520,quatrieme fichier de l application
Applications/NKCode/important/interface.md,fusionner,Applications/NKCode/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-28,3841,quatrieme fichier de l application
Applications/NKCode/src/NKCode/Agents/README.md,fusionner,Applications/NKCode/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-06-22,43,README enfoui dans src/
Applications/NKCode/src/NKCode/Blocks/README.md,fusionner,Applications/NKCode/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-06-22,29,README enfoui dans src/
Applications/NKCode/src/NKCode/Blueprint/README.md,fusionner,Applications/NKCode/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-06-22,30,README enfoui dans src/
Applications/NKCode/src/NKCode/Codegen/README.md,fusionner,Applications/NKCode/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-06-22,30,README enfoui dans src/
Applications/NKCode/src/NKCode/Editor/README.md,fusionner,Applications/NKCode/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-06-22,28,README enfoui dans src/
Applications/NKCode/src/NKCode/Extensions/README.md,fusionner,Applications/NKCode/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-06-22,37,README enfoui dans src/
Applications/NKCode/src/NKCode/Graph/README.md,fusionner,Applications/NKCode/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-06-22,29,README enfoui dans src/
Applications/NKCode/src/NKCode/Project/README.md,fusionner,Applications/NKCode/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-06-22,27,README enfoui dans src/
Applications/NKCode/src/NKCode/Shell/README.md,fusionner,Applications/NKCode/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-06-22,27,README enfoui dans src/
Applications/NKCode/src/NKCode/UIBuilder/README.md,fusionner,Applications/NKCode/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-06-22,43,README enfoui dans src/
Applications/NKGptTrain/GUIDE_LLM_AUTONOME.md,fusionner,Applications/NKGptTrain/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-07,238,quatrieme fichier de l application
Applications/NKGptTrain/README.md,garder,,celui qui utilise l application,oui,2026-07-07,172,cible README
Applications/NKIlyana/LA_BIBLIOTHEQUE.md,fusionner,Applications/NKIlyana/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-10,357,quatrieme fichier de l application
Applications/NKIlyana/OUTILS_ET_TESTS.md,fusionner,Applications/NKIlyana/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-10,286,quatrieme fichier de l application
Applications/NKIlyana/ROADMAP.md,garder,,celui qui decide,OUI - etat reel et decisions datees,2026-08-21,2277,cible ROADMAP
Applications/NKUIDesign/1_NkUIDesign_Specification_Application.md,fusionner,Applications/NKUIDesign/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-17,207,quatrieme fichier de l application
Applications/NKUIDesign/2_NkUIDesign_Langage_Description_NodeBlueprint.md,fusionner,Applications/NKUIDesign/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-17,343,quatrieme fichier de l application
Applications/NKUIDesign/design/3_NkUIDesign_Interface_Humaine.md,fusionner,Applications/NKUIDesign/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,3473,quatrieme fichier de l application
Applications/NKUIDesign/design/4_NkUIDesign_Brief_Banani.md,fusionner,Applications/NKUIDesign/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,1579,quatrieme fichier de l application
Applications/NKUIDesign/design/5_NkUIDesign_Specification_Claude.md,fusionner,Applications/NKUIDesign/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,1475,quatrieme fichier de l application
Applications/NKUIDesign/design/6_IA_de_design_cadrage.md,fusionner,Applications/NKUIDesign/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,676,quatrieme fichier de l application
Applications/NKUIDesign/design/7_Vocabulaire_NkUI.md,fusionner,Applications/NKUIDesign/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,220,quatrieme fichier de l application
Applications/NKUIDesign/design/8_Inventaire_de_l_existant.md,fusionner,Applications/NKUIDesign/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,162,quatrieme fichier de l application
Applications/NKUIDesign/design/9_Grammaire_complete.md,fusionner,Applications/NKUIDesign/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,594,quatrieme fichier de l application
Applications/NkAnima/ROADMAP.md,garder,,celui qui decide,OUI - etat reel et decisions datees,2026-08-21,599,cible ROADMAP
Applications/NkAnimaEditor/design/04-specification-humaine-animation-vfx.md,fusionner,Applications/NkAnimaEditor/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,310,quatrieme fichier de l application
Applications/NkAnimaEditor/design/05-specification-claude-animation-vfx.md,fusionner,Applications/NkAnimaEditor/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,393,quatrieme fichier de l application
Applications/NkAnimaEditor/design/06-specification-banani-animation-vfx.md,fusionner,Applications/NkAnimaEditor/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,275,quatrieme fichier de l application
Applications/NkAnimaEditor/important/f1.md,fusionner,Applications/NkAnimaEditor/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-29,1499,quatrieme fichier de l application
Applications/NkAnimaEditor/important/interface.md,fusionner,Applications/NkAnimaEditor/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-29,2066,quatrieme fichier de l application
Applications/NkAnimaEditor/important/roadmap.md,supprimer,,personne,non - 0 octets,2026-06-29,0,"fichier vide ou quasi vide : repond ""deja fait"" a qui cherche"
Applications/NkRef/LISEZMOI-TESTEURS.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-08-21,50,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/NkVideoPlayer/01-roadmap-complete.md,fusionner,Applications/NkVideoPlayer/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-30,239,quatrieme fichier de l application
Applications/NkVideoPlayer/02-cahier-des-charges.md,fusionner,Applications/NkVideoPlayer/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-30,202,quatrieme fichier de l application
Applications/NkVideoPlayer/03a-specification-interfaces-humain.md,fusionner,Applications/NkVideoPlayer/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-30,352,quatrieme fichier de l application
Applications/NkVideoPlayer/03b-specification-interfaces-banani.md,fusionner,Applications/NkVideoPlayer/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-30,287,quatrieme fichier de l application
Applications/NkVideoPlayer/ROADMAP.md,garder,,celui qui decide,OUI - etat reel et decisions datees,2026-07-30,85,cible ROADMAP
Applications/NkVideoPlayer/specification-produit-lecteur-av.md,garder,,celui qui maintient,oui - dit le POURQUOI,2026-07-30,258,cible SPECIFICATION
Applications/Nkoung/ARCHITECTURE.md,fusionner,Applications/Nkoung/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,382,quatrieme fichier de l application
Applications/Nkoung/ARCHITECTURE_NKOUNG.md,fusionner,Applications/Nkoung/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,371,quatrieme fichier de l application
Applications/Nkoung/BUILD_CHECKLIST.md,fusionner,Applications/Nkoung/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,307,quatrieme fichier de l application
Applications/Nkoung/COMPLETION_SUMMARY.md,fusionner,Applications/Nkoung/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,384,quatrieme fichier de l application
Applications/Nkoung/FILES_DELIVERED.md,fusionner,Applications/Nkoung/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,281,quatrieme fichier de l application
Applications/Nkoung/INDEX.md,fusionner,Applications/Nkoung/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,258,quatrieme fichier de l application
Applications/Nkoung/QUICK_START.md,fusionner,Applications/Nkoung/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,219,quatrieme fichier de l application
Applications/Nkoung/README.md,garder,,celui qui utilise l application,oui,2026-06-14,245,cible README
Applications/Nkoung/ROADMAP.md,garder,,celui qui decide,OUI - etat reel et decisions datees,2026-06-14,310,cible ROADMAP
Applications/Nkoung/UI_DESIGN_SPEC.md,fusionner,Applications/Nkoung/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,231,quatrieme fichier de l application
Applications/Nkoung/WELCOME.md,fusionner,Applications/Nkoung/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,276,quatrieme fichier de l application
Applications/Nkoung/docs/02-laser-puzzle-gdd.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-06-14,182,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/Nkoung/docs/03-territoires-gdd.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-06-14,213,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/Nkoung/docs/04-ponts-et-chemins-gdd.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-06-14,181,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/Nkoung/docs/05-gardien-du-labyrinthe-gdd.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-06-14,167,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/Nkoung/docs/06-tactique-minimaliste-gdd.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-06-14,183,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/Nkoung/docs/07-jeu-de-flux-gdd.md,garder,,agent qui reprend / testeur,OUI - etat exact a une date,2026-06-14,182,"passation, GDD ou notice de temoin : contenu non reconstructible"
Applications/Nogee/ARCHITECTURE (2).md,fusionner,Applications/Nogee/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,541,quatrieme fichier de l application
Applications/Nogee/ARCHITECTURE.md,fusionner,Applications/Nogee/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,541,quatrieme fichier de l application
Applications/Nogee/design/01-specification-humaine.md,fusionner,Applications/Nogee/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,458,quatrieme fichier de l application
Applications/Nogee/design/02-specification-claude.md,fusionner,Applications/Nogee/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,414,quatrieme fichier de l application
Applications/Nogee/design/03-specification-banani.md,fusionner,Applications/Nogee/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-08-21,339,quatrieme fichier de l application
Applications/PV3DE/ARCHITECTURE (2).md,fusionner,Applications/PV3DE/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,541,quatrieme fichier de l application
Applications/PV3DE/ARCHITECTURE.md,fusionner,Applications/PV3DE/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-14,541,quatrieme fichier de l application
Applications/PV3DE/ROADMAP.md,garder,,celui qui decide,OUI - etat reel et decisions datees,2026-08-21,476,cible ROADMAP
Applications/PV3DE/file.md,supprimer,,personne,non - 0 octets,2026-04-19,0,"fichier vide ou quasi vide : repond ""deja fait"" a qui cherche"
Applications/Pong/README.md,garder,,celui qui utilise l application,oui,2026-06-14,126,cible README
Applications/Pong/ROADMAP.md,garder,,celui qui decide,OUI - etat reel et decisions datees,2026-06-14,195,cible ROADMAP
Applications/Sandbox/src/DemoNkentseu/Base04/tmp/imgui_approche.md,fusionner,Applications/Sandbox/SPECIFICATION.md a creer,agent du sous-systeme,partiellement - decrit un dossier de code,2026-04-10,186,README enfoui dans src/
Applications/Songoo/README_INTEGRATION.md,fusionner,Applications/Songoo/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-06-22,165,quatrieme fichier de l application
Applications/Songoo/REFACTOR_NOTES.md,fusionner,Applications/Songoo/SPECIFICATION.md,agent de l application,a verifier au cas par cas,2026-07-30,142,quatrieme fichier de l application
BugReports/Backends-Rendu/dx11-freeze-maximize-resizebuffers.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-07-04,66,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/Backends-Rendu/opengl-ombres-manquantes-glclipcontrol-clipz01.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-07-04,75,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/Backends-Rendu/opengl-vulkan-rendu.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,49,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/Backends-Rendu/software-couleur-sommet-packee-uint-nan.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-07-06,52,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/Backends-Rendu/software-grille-inversee-y-ndc-convention.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-07-06,52,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/Backends-Rendu/software-multithread-plus-lent-tuilage-scissor.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-07-06,50,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/Backends-Rendu/software-nksl-ecran-noir-lambdas-stub.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,60,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/Backends-Rendu/software-ombres-vsm-viewport.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-07-06,90,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/Backends-Rendu/software-shadow-atlas-gaspille-perf.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-07-06,47,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/DirectX11/input-layout-format-enum-index.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,88,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/DirectX12/debug-layer-graphics-tools.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,107,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/DirectX12/depth-state-tracking-clear-barrier.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,72,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/DirectX12/dxc-entry-point-hardcode-main.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,58,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/DirectX12/dxc-integration-clang-mingw.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,76,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/DirectX12/pso-signature-linkage-E_INVALIDARG.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,74,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/DirectX12/root-signature-register-base.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,45,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/DirectX12/root-signature-table-par-registre.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,66,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/Environnement-Windows/runtime-vc-dxcompiler-graphics-tools.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,51,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/GitHub/claude-contributeur-cache-github.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-07-11,80,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/Memoire-Heap/nkunorderedmap-define-find-rehash.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,75,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/NKCanvas/dx12-createwhitetexture-cmdlist-rowpitch.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,68,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/NKCanvas/heap-c0000374-renderer-alloc-mismatch.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,132,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/NKCanvas/nktexture-move-mcpupixels.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,49,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/NKCanvas/software-blackscreen-textures.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,103,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/NKCanvas/vulkan-rendering-white-yflip-srgb.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,139,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/NKCanvas/vulkan-spirv-2d-invalide.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,99,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/NkSL-Generateurs/glsl-locations-bindings.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,51,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/NkSL-Generateurs/hlsl-dx-binding-shared-counter.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,69,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/NkSL-Generateurs/hlsl-dx12-bugs-generateur.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,57,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/NkSL-VM/vm-software-etat-pause.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,61,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/PROMPT_WIKI.md,fusionner,BugReports/README.md,agent qui debogue,non,2026-06-14,91,meta-fichier du dossier
BugReports/Pong/rihenintro-fond-blanc-regression-migration.md,garder,,agent qui debogue le meme backend,"OUI - symptome + cause + lecon, introuvable ailleurs",2026-06-14,40,un rapport de bug est la trace d un jour perdu : le supprimer le fait repayer
BugReports/README.md,fusionner,BugReports/README.md,agent qui debogue,non,2026-07-11,97,meta-fichier du dossier
BugReports/SESSION_AUTONOME_2026-06-11.md,fusionner,BugReports/README.md,agent qui debogue,non,2026-06-14,136,meta-fichier du dossier
CONSOLIDATION_TODO.md,supprimer,,agent qui reprend,"non - le contenu a atterri (NKCollision present, SetFinalColorTarget utilise)",2026-06-29,48,"consigne perimee au niveau le plus lu du depot : elle dit ""NE PAS faire un merge brut"" alors que la fusion est faite"
CONVENTIONS_CODE.md,garder,,tout contributeur,oui,2026-08-21,263,contrat de style
CONVENTIONS_FICHIERS.md,garder,,tout contributeur,oui,2026-08-08,181,contrat de nommage
DETTE_LISIBILITE.md,garder,,celui qui maintient,oui - liste de dette nommee,2026-08-21,946,a verifier avec Rodolf
Documentation/cours-conqueror/LIVRAISON.md,garder,,etudiants (rentree septembre 2026),oui - se lit comme un livre,2026-08-17,188,"hors du modele README/SPECIFICATION/ROADMAP : autre animal, autre rythme"
Documentation/cours-conqueror/README.md,garder,,etudiants (rentree septembre 2026),oui - se lit comme un livre,2026-08-17,142,"hors du modele README/SPECIFICATION/ROADMAP : autre animal, autre rythme"
Documentation/cours-conqueror/SUJETS.md,garder,,etudiants (rentree septembre 2026),oui - se lit comme un livre,2026-08-17,447,"hors du modele README/SPECIFICATION/ROADMAP : autre animal, autre rythme"
Documentation/cours-conqueror/md/00-avant-propos.md,garder,,etudiants (rentree septembre 2026),oui - se lit comme un livre,2026-08-23,200,"hors du modele README/SPECIFICATION/ROADMAP : autre animal, autre rythme"
Documentation/cours-conqueror/md/01-le-principe.md,garder,,etudiants (rentree septembre 2026),oui - se lit comme un livre,2026-08-23,415,"hors du modele README/SPECIFICATION/ROADMAP : autre animal, autre rythme"
Documentation/cours-conqueror/md/02-ecrire-des-regles.md,garder,,etudiants (rentree septembre 2026),oui - se lit comme un livre,2026-08-23,493,"hors du modele README/SPECIFICATION/ROADMAP : autre animal, autre rythme"
Documentation/cours-conqueror/md/02b-regles-en-trois-fonctions.md,garder,,etudiants (rentree septembre 2026),oui - se lit comme un livre,2026-08-23,276,"hors du modele README/SPECIFICATION/ROADMAP : autre animal, autre rythme"
Documentation/cours-conqueror/md/03-ecrire-une-ia.md,garder,,etudiants (rentree septembre 2026),oui - se lit comme un livre,2026-08-23,371,"hors du modele README/SPECIFICATION/ROADMAP : autre animal, autre rythme"
Documentation/cours-conqueror/md/04-les-grilles.md,garder,,etudiants (rentree septembre 2026),oui - se lit comme un livre,2026-08-23,259,"hors du modele README/SPECIFICATION/ROADMAP : autre animal, autre rythme"
